11:25:24;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
mongo-db-747df89945-ks6gq;0.0;Running;2020-05-17T11:20:01.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-687xg;871.0;Running;2020-05-17T11:20:22.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-bbgmr;0.0;Running;2020-05-17T11:20:23.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-2f6jh;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-2zjcz;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
total;871
11:25:49;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
mongo-db-747df89945-ks6gq;0.0;Running;2020-05-17T11:20:01.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-687xg;871.0;Running;2020-05-17T11:20:22.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-bbgmr;0.0;Running;2020-05-17T11:20:23.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-2f6jh;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-2zjcz;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
total;871
11:25:50;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
mongo-db-747df89945-ks6gq;0.0;Running;2020-05-17T11:20:01.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-687xg;871.0;Running;2020-05-17T11:20:22.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-bbgmr;0.0;Running;2020-05-17T11:20:23.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-2f6jh;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-2zjcz;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
total;871
11:25:51;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
mongo-db-747df89945-ks6gq;0.0;Running;2020-05-17T11:20:01.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-687xg;871.0;Running;2020-05-17T11:20:22.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-bbgmr;0.0;Running;2020-05-17T11:20:23.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-2f6jh;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-2zjcz;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
total;871
11:25:52;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
mongo-db-747df89945-ks6gq;0.0;Running;2020-05-17T11:20:01.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-687xg;871.0;Running;2020-05-17T11:20:22.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-bbgmr;0.0;Running;2020-05-17T11:20:23.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-2f6jh;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-2zjcz;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
total;871
11:25:53;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
mongo-db-747df89945-ks6gq;0.0;Running;2020-05-17T11:20:01.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-687xg;871.0;Running;2020-05-17T11:20:22.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-bbgmr;0.0;Running;2020-05-17T11:20:23.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-2f6jh;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-2zjcz;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
total;871
11:25:54;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
mongo-db-747df89945-ks6gq;0.0;Running;2020-05-17T11:20:01.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-687xg;871.0;Running;2020-05-17T11:20:22.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-bbgmr;0.0;Running;2020-05-17T11:20:23.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-2f6jh;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-2zjcz;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
total;871
11:25:55;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
mongo-db-747df89945-ks6gq;0.0;Running;2020-05-17T11:20:01.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-687xg;871.0;Running;2020-05-17T11:20:22.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-bbgmr;0.0;Running;2020-05-17T11:20:23.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-2f6jh;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-2zjcz;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
total;871
11:25:56;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
mongo-db-747df89945-ks6gq;0.0;Running;2020-05-17T11:20:01.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-687xg;871.0;Running;2020-05-17T11:20:22.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-bbgmr;0.0;Running;2020-05-17T11:20:23.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-2f6jh;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-2zjcz;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
total;871
11:25:57;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
mongo-db-747df89945-ks6gq;0.0;Running;2020-05-17T11:20:01.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-687xg;871.0;Running;2020-05-17T11:20:22.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-bbgmr;0.0;Running;2020-05-17T11:20:23.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-2f6jh;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-2zjcz;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
total;871
11:25:59;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
mongo-db-747df89945-ks6gq;0.0;Running;2020-05-17T11:20:01.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-687xg;871.0;Running;2020-05-17T11:20:22.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-bbgmr;0.0;Running;2020-05-17T11:20:23.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-2f6jh;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-2zjcz;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
total;871
11:26:00;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
mongo-db-747df89945-ks6gq;0.0;Running;2020-05-17T11:20:01.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-687xg;871.0;Running;2020-05-17T11:20:22.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-bbgmr;0.0;Running;2020-05-17T11:20:23.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-2f6jh;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-2zjcz;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
total;871
11:26:01;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
mongo-db-747df89945-ks6gq;0.0;Running;2020-05-17T11:20:01.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-687xg;871.0;Running;2020-05-17T11:20:22.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-bbgmr;0.0;Running;2020-05-17T11:20:23.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-2f6jh;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-2zjcz;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
total;871
11:26:02;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
mongo-db-747df89945-ks6gq;0.0;Running;2020-05-17T11:20:01.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-687xg;871.0;Running;2020-05-17T11:20:22.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-bbgmr;0.0;Running;2020-05-17T11:20:23.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-2f6jh;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-2zjcz;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
total;871
11:26:03;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
mongo-db-747df89945-ks6gq;0.0;Running;2020-05-17T11:20:01.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-687xg;871.0;Running;2020-05-17T11:20:22.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-bbgmr;0.0;Running;2020-05-17T11:20:23.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-2f6jh;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-2zjcz;0.0;Running;2020-05-17T11:20:00.000Z;null;null;True;Initialized;null
total;871
11:26:04;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
